,Unnamed: 0,0
0,0,"3126 Grizzly Peak Blvd, Berkeley, CA 94705, USA"
1,1,"2005 Tunnel Rd, Oakland, CA 94611, USA"
2,2,"RQX5+XX Oakland, CA, USA"
3,3,"6365 Florio St, Oakland, CA 94618, USA"
4,4,"6365 Florio St, Oakland, CA 94618, USA"
5,5,"6365 Florio St, Oakland, CA 94618, USA"
6,6,"224 Ada St, Oakland, CA 94618, USA"
7,7,"224 Ada St, Oakland, CA 94618, USA"
8,8,"5321 Claremont Ave, Oakland, CA 94618, USA"
9,9,"224 Ada St, Oakland, CA 94618, USA"
10,10,"481 Alcatraz Ave, Oakland, CA 94609, USA"
11,11,"481 Alcatraz Ave, Oakland, CA 94609, USA"
12,12,"481 Alcatraz Ave, Oakland, CA 94609, USA"
13,13,"5321 Claremont Ave, Oakland, CA 94618, USA"
14,14,"481 Alcatraz Ave, Oakland, CA 94609, USA"
15,15,"481 Alcatraz Ave, Oakland, CA 94609, USA"
16,16,"1891 Harmon St, Berkeley, CA 94703, USA"
17,17,"1891 Harmon St, Berkeley, CA 94703, USA"
18,18,"5321 Claremont Ave, Oakland, CA 94618, USA"
19,19,"5473 Martin Luther King Jr Way, Oakland, CA 94609, USA"
20,20,"1891 Harmon St, Berkeley, CA 94703, USA"
21,21,"1891 Harmon St, Berkeley, CA 94703, USA"
22,22,"5473 Martin Luther King Jr Way, Oakland, CA 94609, USA"
23,23,"5473 Martin Luther King Jr Way, Oakland, CA 94609, USA"
24,24,"5473 Martin Luther King Jr Way, Oakland, CA 94609, USA"
25,25,"1408 66th St, Berkeley, CA 94702, USA"
26,26,"1408 66th St, Berkeley, CA 94702, USA"
27,27,"1408 66th St, Berkeley, CA 94702, USA"
28,28,"1045 Aileen St, Oakland, CA 94608, USA"
29,29,"1045 Aileen St, Oakland, CA 94608, USA"
30,30,"1045 Aileen St, Oakland, CA 94608, USA"
31,31,"1045 Aileen St, Oakland, CA 94608, USA"
32,32,"5473 Martin Luther King Jr Way, Oakland, CA 94609, USA"
33,33,"697 40th St, Oakland, CA 94609, USA"
34,34,"697 40th St, Oakland, CA 94609, USA"
35,35,"697 40th St, Oakland, CA 94609, USA"
36,36,"697 40th St, Oakland, CA 94609, USA"
37,37,"Safeway, 3889 San Pablo Ave, Emeryville, CA 94608, USA"
38,38,"4138 Webster St, Oakland, CA 94609, USA"
39,39,"4138 Webster St, Oakland, CA 94609, USA"
40,40,"4138 Webster St, Oakland, CA 94609, USA"
41,41,"4138 Webster St, Oakland, CA 94609, USA"
42,42,"5321 Claremont Ave, Oakland, CA 94618, USA"
43,43,"5321 Claremont Ave, Oakland, CA 94618, USA"
44,44,"4138 Webster St, Oakland, CA 94609, USA"
45,45,"4138 Webster St, Oakland, CA 94609, USA"
46,46,"4138 Webster St, Oakland, CA 94609, USA"
47,47,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA"
48,48,"45 Randwick Ave, Oakland, CA 94611, USA"
49,49,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA"
50,50,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA"
51,51,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA"
52,52,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA"
53,53,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA"
54,54,"2802 Linden St, Oakland, CA 94608, USA"
55,55,"2802 Linden St, Oakland, CA 94608, USA"
56,56,"2802 Linden St, Oakland, CA 94608, USA"
57,57,"2802 Linden St, Oakland, CA 94608, USA"
58,58,"2802 Linden St, Oakland, CA 94608, USA"
59,59,"2430 Willow St, Oakland, CA 94607, USA"
60,60,"4080 Halleck St, Oakland, CA 94608, USA"
61,61,"2430 Willow St, Oakland, CA 94607, USA"
62,62,"1312 Kirkham Ct, Oakland, CA 94607, USA"
63,63,"1737 10th St, Oakland, CA 94607, USA"
64,64,"1737 10th St, Oakland, CA 94607, USA"
65,65,"1737 10th St, Oakland, CA 94607, USA"
66,66,"1737 10th St, Oakland, CA 94607, USA"
67,67,"163 Adeline St, Oakland, CA 94607, USA"
68,68,"1737 10th St, Oakland, CA 94607, USA"
69,69,"1312 Kirkham Ct, Oakland, CA 94607, USA"
70,70,"1312 Kirkham Ct, Oakland, CA 94607, USA"
71,71,"1312 Kirkham Ct, Oakland, CA 94607, USA"
72,72,"1312 Kirkham Ct, Oakland, CA 94607, USA"
73,73,"1312 Kirkham Ct, Oakland, CA 94607, USA"
74,74,"1312 Kirkham Ct, Oakland, CA 94607, USA"
75,75,"Market St & 16th St, Oakland, CA 94607, USA"
76,76,"Market St & 16th St, Oakland, CA 94607, USA"
77,77,"Market St & 16th St, Oakland, CA 94607, USA"
78,78,"1312 Kirkham Ct, Oakland, CA 94607, USA"
79,79,"431 Martin Luther King Jr Way, Oakland, CA 94607, USA"
80,80,"Market St & 16th St, Oakland, CA 94607, USA"
81,81,"520 20th St, Oakland, CA 94612, USA"
82,82,"Market St & 16th St, Oakland, CA 94607, USA"
83,83,"Market St & 16th St, Oakland, CA 94607, USA"
84,84,"Market St & 16th St, Oakland, CA 94607, USA"
85,85,"Market St & 16th St, Oakland, CA 94607, USA"
86,86,"520 20th St, Oakland, CA 94612, USA"
87,87,"520 20th St, Oakland, CA 94612, USA"
88,88,"321 10th St, Oakland, CA 94607, USA"
89,89,"321 10th St, Oakland, CA 94607, USA"
90,90,"321 10th St, Oakland, CA 94607, USA"
91,91,"431 Martin Luther King Jr Way, Oakland, CA 94607, USA"
92,92,"431 Martin Luther King Jr Way, Oakland, CA 94607, USA"
93,93,"15 Embarcadero West, Oakland, CA 94607, USA"
94,94,"321 10th St, Oakland, CA 94607, USA"
95,95,"Lake Merritt Amphitheater, Between 12th Street and 1st Ave., Lake Merritt Blvd, Oakland, CA 94612, USA"
96,96,"45 Randwick Ave, Oakland, CA 94611, USA"
97,97,"Grand Av & Bellevue Av, Oakland, CA 94610, USA"
98,98,"45 Randwick Ave, Oakland, CA 94611, USA"
99,99,"45 Randwick Ave, Oakland, CA 94611, USA"
100,100,"431 Lagunitas Ave, Oakland, CA 94610, USA"
101,101,"431 Lagunitas Ave, Oakland, CA 94610, USA"
102,102,"431 Lagunitas Ave, Oakland, CA 94610, USA"
103,103,"431 Lagunitas Ave, Oakland, CA 94610, USA"
104,104,"Grand Av & Bellevue Av, Oakland, CA 94610, USA"
105,105,"114 Magnolia Ave, Piedmont, CA 94610, USA"
106,106,"690 Longridge Rd, Oakland, CA 94610, USA"
107,107,"431 Lagunitas Ave, Oakland, CA 94610, USA"
108,108,"114 Magnolia Ave, Piedmont, CA 94610, USA"
109,109,"615 Mariposa Ave, Oakland, CA 94610, USA"
110,110,"615 Mariposa Ave, Oakland, CA 94610, USA"
111,111,"615 Mariposa Ave, Oakland, CA 94610, USA"
112,112,"615 Mariposa Ave, Oakland, CA 94610, USA"
113,113,"190 John St, Oakland, CA 94611, USA"
114,114,"190 John St, Oakland, CA 94611, USA"
115,115,"190 John St, Oakland, CA 94611, USA"
116,116,"190 John St, Oakland, CA 94611, USA"
117,117,"190 John St, Oakland, CA 94611, USA"
118,118,"241 Florence Ave, Oakland, CA 94618, USA"
119,119,"241 Florence Ave, Oakland, CA 94618, USA"
120,120,"161 Ronada Ave, Piedmont, CA 94611, USA"
121,121,"RQX5+XX Oakland, CA, USA"
122,122,"RQXC+X2 Oakland, CA, USA"
123,123,"5672 Broadway Terrace, Oakland, CA 94618, USA"
124,124,"RQX5+XX Oakland, CA, USA"
125,125,"North Oakland Regional Sports Center, 6900 Broadway, Oakland, CA 94611, USA"
126,126,"6925 Broadway Terrace, Oakland, CA 94611, USA"
127,127,"6131 Thornhill Dr, Oakland, CA 94611, USA"
128,128,"1816 Magellan Dr, Oakland, CA 94611, USA"
129,129,"6519 Oakwood Dr, Oakland, CA 94611, USA"
