,0
0,"3126 Grizzly Peak Blvd, Berkeley, CA 94705, USA"
1,"2005 Tunnel Rd, Oakland, CA 94611, USA"
2,"RQX5+XX Oakland, CA, USA"
3,"6365 Florio St, Oakland, CA 94618, USA"
4,"6365 Florio St, Oakland, CA 94618, USA"
5,"6365 Florio St, Oakland, CA 94618, USA"
6,"224 Ada St, Oakland, CA 94618, USA"
7,"224 Ada St, Oakland, CA 94618, USA"
8,"5321 Claremont Ave, Oakland, CA 94618, USA"
9,"224 Ada St, Oakland, CA 94618, USA"
10,"481 Alcatraz Ave, Oakland, CA 94609, USA"
11,"481 Alcatraz Ave, Oakland, CA 94609, USA"
12,"481 Alcatraz Ave, Oakland, CA 94609, USA"
13,"5321 Claremont Ave, Oakland, CA 94618, USA"
14,"481 Alcatraz Ave, Oakland, CA 94609, USA"
15,"481 Alcatraz Ave, Oakland, CA 94609, USA"
16,"1891 Harmon St, Berkeley, CA 94703, USA"
17,"1891 Harmon St, Berkeley, CA 94703, USA"
18,"5321 Claremont Ave, Oakland, CA 94618, USA"
19,"5473 Martin Luther King Jr Way, Oakland, CA 94609, USA"
20,"1891 Harmon St, Berkeley, CA 94703, USA"
21,"1891 Harmon St, Berkeley, CA 94703, USA"
22,"5473 Martin Luther King Jr Way, Oakland, CA 94609, USA"
23,"5473 Martin Luther King Jr Way, Oakland, CA 94609, USA"
24,"5473 Martin Luther King Jr Way, Oakland, CA 94609, USA"
25,"1408 66th St, Berkeley, CA 94702, USA"
26,"1408 66th St, Berkeley, CA 94702, USA"
27,"1408 66th St, Berkeley, CA 94702, USA"
28,"1045 Aileen St, Oakland, CA 94608, USA"
29,"1045 Aileen St, Oakland, CA 94608, USA"
30,"1045 Aileen St, Oakland, CA 94608, USA"
31,"1045 Aileen St, Oakland, CA 94608, USA"
32,"5473 Martin Luther King Jr Way, Oakland, CA 94609, USA"
33,"697 40th St, Oakland, CA 94609, USA"
34,"697 40th St, Oakland, CA 94609, USA"
35,"697 40th St, Oakland, CA 94609, USA"
36,"697 40th St, Oakland, CA 94609, USA"
37,"Safeway, 3889 San Pablo Ave, Emeryville, CA 94608, USA"
38,"4138 Webster St, Oakland, CA 94609, USA"
39,"4138 Webster St, Oakland, CA 94609, USA"
40,"4138 Webster St, Oakland, CA 94609, USA"
41,"4138 Webster St, Oakland, CA 94609, USA"
42,"5321 Claremont Ave, Oakland, CA 94618, USA"
43,"5321 Claremont Ave, Oakland, CA 94618, USA"
44,"4138 Webster St, Oakland, CA 94609, USA"
45,"4138 Webster St, Oakland, CA 94609, USA"
46,"4138 Webster St, Oakland, CA 94609, USA"
47,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA"
48,"45 Randwick Ave, Oakland, CA 94611, USA"
49,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA"
50,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA"
51,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA"
52,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA"
53,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA"
54,"2802 Linden St, Oakland, CA 94608, USA"
55,"2802 Linden St, Oakland, CA 94608, USA"
56,"2802 Linden St, Oakland, CA 94608, USA"
57,"2802 Linden St, Oakland, CA 94608, USA"
58,"2802 Linden St, Oakland, CA 94608, USA"
59,"2430 Willow St, Oakland, CA 94607, USA"
